"","Company","SpecificBeanOrigin_BarName","REF","Review_Date","Cocoa_Percent","Company_Location","Rating","Bean_Type","Broad.Bean_Origin","bean_type_simplified"
"1","A. Morin","Carenero",1315,2014,"70%","France",2.75,"Criollo","Venezuela","Criollo"
"2","A. Morin","Sur del Lago",1315,2014,"70%","France",3.5,"Criollo","Venezuela","Criollo"
"3","A. Morin","Puerto Cabello",1319,2014,"70%","France",3.75,"Criollo","Venezuela","Criollo"
"4","A. Morin","Madagascar",1011,2013,"70%","France",3,"Criollo","Madagascar","Criollo"
"5","A. Morin","Chuao",1015,2013,"70%","France",4,"Trinitario","Venezuela","Trinitario"
"6","Acalli","Tumbes, Norandino",1470,2015,"70%","U.S.A.",3.75,"Criollo","Peru","Criollo"
"7","Adi","Vanua Levu",705,2011,"60%","Fiji",2.75,"Trinitario","Fiji","Trinitario"
"8","Adi","Vanua Levu, Toto-A",705,2011,"80%","Fiji",3.25,"Trinitario","Fiji","Trinitario"
"9","Adi","Vanua Levu",705,2011,"88%","Fiji",3.5,"Trinitario","Fiji","Trinitario"
"10","Adi","Vanua Levu, Ami-Ami-CA",705,2011,"72%","Fiji",3.5,"Trinitario","Fiji","Trinitario"
"11","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"55%","Ecuador",2.75,"Forastero","Ecuador","Forastero"
"12","Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"70%","Ecuador",3,"Forastero","Ecuador","Forastero"
"13","Ah Cacao","Tabasco",316,2009,"70%","Mexico",3,"Criollo","Mexico","Criollo"
"14","Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,"75%","Switzerland",3.75,"Trinitario","Indonesia","Trinitario"
"15","Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,"75%","Switzerland",2.75,"Criollo","Madagascar","Criollo"
"16","Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,"75%","Switzerland",2.75,"Forastero","Brazil","Forastero"
"17","Alain Ducasse","Trinite",1215,2014,"65%","France",2.75,"Trinitario","Trinidad","Trinitario"
"18","Alain Ducasse","Vietnam",1215,2014,"75%","France",2.75,"Trinitario","Vietnam","Trinitario"
"19","Alain Ducasse","Madagascar",1215,2014,"75%","France",3,"Trinitario","Madagascar","Trinitario"
"20","Alain Ducasse","Chuao",1061,2013,"75%","France",2.5,"Trinitario","Venezuela","Trinitario"
"21","Alexandre","Winak Coop, Napo",1944,2017,"70%","Netherlands",3.5,"Forastero","Ecuador","Forastero"
"22","Alexandre","La Dalia, Matagalpa",1944,2017,"70%","Netherlands",3.5,"Criollo","Nicaragua","Criollo"
"23","Alexandre","Tien Giang",1944,2017,"70%","Netherlands",3.5,"Trinitario","Vietnam","Trinitario"
"24","Alexandre","Makwale Village, Kyela",1944,2017,"70%","Netherlands",3.5,"Forastero","Tanzania","Forastero"
"25","Altus aka Cao Artisan","Conacado",1125,2013,"60%","U.S.A.",3,"Trinitario","Dominican Republic","Trinitario"
"26","Amano","Chuao",544,2010,"70%","U.S.A.",3,"Trinitario","Venezuela","Trinitario"
"27","Amano","Madagascar",129,2007,"70%","U.S.A.",3.5,"Trinitario","Madagascar","Trinitario"
"28","Amano","Ocumare",175,2007,"70%","U.S.A.",3.75,"Criollo","Venezuela","Criollo"
"29","Amatller (Simon Coll)","Ghana",322,2009,"70%","Spain",3,"Forastero","Ghana","Forastero"
"30","Amatller (Simon Coll)","Ghana",464,2009,"85%","Spain",3,"Forastero","Ghana","Forastero"
"31","Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,"73%","Peru",3.5,"Trinitario","Peru","Trinitario"
"32","Ambrosia","Belize",1494,2015,"64%","Canada",3,"Trinitario","Belize","Trinitario"
"33","Ambrosia","Madagascar",1494,2015,"66%","Canada",3.25,"Trinitario","Madagascar","Trinitario"
"34","Amedei","Porcelana",111,2007,"70%","Italy",4,"Criollo","Venezuela","Criollo"
"35","Amedei","Nine",111,2007,"75%","Italy",4,"Blend"," ","Blend"
"36","Amedei","Chuao",111,2007,"70%","Italy",5,"Trinitario","Venezuela","Trinitario"
"37","Amedei","Ecuador",123,2007,"70%","Italy",3,"Trinitario","Ecuador","Trinitario"
"38","Amedei","Jamaica",123,2007,"70%","Italy",3,"Trinitario","Jamaica","Trinitario"
"39","Amedei","Grenada",123,2007,"70%","Italy",3.5,"Trinitario","Grenada","Trinitario"
"40","Amedei","Venezuela",123,2007,"70%","Italy",3.75,"Trinitario","Venezuela","Trinitario"
"41","Amedei","Madagascar",123,2007,"70%","Italy",4,"Trinitario","Madagascar","Trinitario"
"42","Amedei","Trinidad",129,2007,"70%","Italy",3.5,"Trinitario","Trinidad","Trinitario"
"43","Amedei","Toscano Black",170,2007,"63%","Italy",3.5,"Blend"," ","Blend"
"44","Amedei","Toscano Black",40,2006,"70%","Italy",5,"Blend"," ","Blend"
"45","Amedei","Toscano Black",75,2006,"66%","Italy",4,"Blend"," ","Blend"
"46","AMMA","Catongo",1065,2013,"75%","Brazil",3.25,"Forastero","Brazil","Forastero"
"47","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"85%","Brazil",2.75,"Forastero","Brazil","Forastero"
"48","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"50%","Brazil",3.75,"Forastero","Brazil","Forastero"
"49","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"75%","Brazil",3.75,"Forastero","Brazil","Forastero"
"50","AMMA","Monte Alegre, 3 diff. plantations",572,2010,"60%","Brazil",4,"Forastero","Brazil","Forastero"
"51","Ara","Madagascar",1375,2014,"75%","France",3,"Trinitario","Madagascar","Trinitario"
"52","Arete","San Juan",1724,2016,"70%","U.S.A.",3.5,"Trinitario","Trinidad","Trinitario"
"53","Arete","Tien Giang",1900,2016,"73%","U.S.A.",3.5,"Trinitario","Vietnam","Trinitario"
"54","Arete","Phantom",1924,2016,"70%","U.S.A.",4,"Forastero","Peru","Forastero"
"55","Arete","Nacional",1534,2015,"68%","U.S.A.",3.5,"Forastero","Peru","Forastero"
"56","Arete","Puerto Quito, heirloom",1534,2015,"70%","U.S.A.",3.75,"Forastero","Ecuador","Forastero"
"57","Arete","Maya Mountain",1598,2015,"70%","U.S.A.",3.75,"Trinitario","Belize","Trinitario"
"58","Arete","Chuno",1598,2015,"70%","U.S.A.",4,"Criollo","Nicaragua","Criollo"
"59","Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,"72%","U.K.",3.25,"Trinitario","Trinidad","Trinitario"
"60","Artisan du Chocolat","Jamaica",531,2010,"72%","U.K.",3.75,"Trinitario","Jamaica","Trinitario"
"61","Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,"72%","U.K.",3.25,"Trinitario","Vietnam","Trinitario"
"62","Artisan du Chocolat","Ocumare, Venezuela",355,2009,"75%","U.K.",2.5,"Criollo","Venezuela","Criollo"
"63","Artisan du Chocolat","Java",355,2009,"72%","U.K.",2.75,"Trinitario","Indonesia","Trinitario"
"64","Artisan du Chocolat","Madagascar",363,2009,"80%","U.K.",3,"Criollo","Madagascar","Criollo"
"65","Artisan du Chocolat","Peru",363,2009,"75%","U.K.",3,"Criollo","Peru","Criollo"
"66","Artisan du Chocolat","Dominican Republic",363,2009,"72%","U.K.",3.25,"Trinitario","Dominican Republic","Trinitario"
"67","Artisan du Chocolat","Congo",300,2008,"72%","U.K.",3.75,"Forastero","Congo","Forastero"
"68","Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,"72%","U.K.",2.75,"Trinitario","Colombia","Trinitario"
"69","Askinosie","Mababa",1780,2016,"68%","U.S.A.",3.75,"Trinitario","Tanzania","Trinitario"
"70","Askinosie","Tenende, Uwate",647,2011,"72%","U.S.A.",3.75,"Trinitario","Tanzania","Trinitario"
"71","Askinosie","Cortes",661,2011,"70%","U.S.A.",3.75,"Trinitario","Honduras","Trinitario"
"72","Askinosie","Davao",331,2009,"77%","U.S.A.",3.75,"Trinitario","Philippines","Trinitario"
"73","Askinosie","Xoconusco",141,2007,"75%","U.S.A.",2.5,"Trinitario","Mexico","Trinitario"
"74","Askinosie","San Jose del Tambo",175,2007,"70%","U.S.A.",3,"Forastero","Ecuador","Forastero"
"75","Bahen & Co.","Sambirano",995,2012,"70%","Australia",3,"Trinitario","Madagascar","Trinitario"
"76","Bahen & Co.","Houseblend",999,2012,"70%","Australia",2.5,"Blend"," ","Blend"
"77","Bar Au Chocolat","Maranon Canyon",1295,2014,"70%","U.S.A.",4,"Forastero","Peru","Forastero"
"78","Bar Au Chocolat","Sambirano",983,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar","Trinitario"
"79","Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,"70%","U.S.A.",3.5,"Criollo","Tanzania","Criollo"
"80","Belyzium","Belize south, low fermentation",1768,2016,"83%","Germany",2.75,"Trinitario","Belize","Trinitario"
"81","Belyzium","Belize south",1768,2016,"78%","Germany",3,"Trinitario","Belize","Trinitario"
"82","Belyzium","Belize south",1768,2016,"83%","Germany",3.5,"Trinitario","Belize","Trinitario"
"83","Benoit Nihant","Baracoa",1141,2013,"74%","Belgium",3.5,"Trinitario","Cuba","Trinitario"
"84","Benoit Nihant","Chuao",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela","Criollo"
"85","Benoit Nihant","Cuyagua Village",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela","Criollo"
"86","Benoit Nihant","Rio Peripa H.",1141,2013,"73%","Belgium",4,"Trinitario","Ecuador","Trinitario"
"87","Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,"72%","Belgium",4,"Trinitario","Indonesia","Trinitario"
"88","Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,"72%","Belgium",3.75,"Trinitario","Madagascar","Trinitario"
"89","Beschle (Felchlin)","Madagascar",636,2011,"64%","Switzerland",3,"Trinitario","Madagascar","Trinitario"
"90","Beschle (Felchlin)","Maracaibo",636,2011,"88%","Switzerland",3,"Criollo","Venezuela","Criollo"
"91","Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,"70%","Switzerland",3.25,"Trinitario","Venezuela","Trinitario"
"92","Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,"74%","Switzerland",3.25,"Criollo","Venezuela","Criollo"
"93","Bisou","Belize",1486,2015,"86%","U.S.A.",3.25,"Trinitario","Belize","Trinitario"
"94","Bittersweet Origins","Ghana",963,2012,"72%","U.S.A.",3.5,"Forastero","Ghana","Forastero"
"95","Bittersweet Origins","2009 Hapa Nibby",502,2010,"70%","U.S.A.",3.75,"Blend","Dominican Rep., Bali","Blend"
"96","Bittersweet Origins","Sambirano, 2009",565,2010,"70%","U.S.A.",3,"Trinitario","Madagascar","Trinitario"
"97","Bittersweet Origins","Ocumare, prototype",565,2010,"78%","U.S.A.",3,"Criollo","Venezuela","Criollo"
"98","Bittersweet Origins","Sambirano",423,2009,"75%","U.S.A.",3.25,"Trinitario","Madagascar","Trinitario"
"99","Bittersweet Origins","Sambirano",431,2009,"65%","U.S.A.",3.5,"Trinitario","Madagascar","Trinitario"
"100","Bittersweet Origins","Sambirano",233,2008,"71%","U.S.A.",3,"Trinitario","Madagascar","Trinitario"
"101","Bittersweet Origins","Ankasa",256,2008,"70%","U.S.A.",3,"Forastero","Ghana","Forastero"
"102","Black Mountain","Carenero Superior",256,2008,"70%","U.S.A.",2.75,"Trinitario","Venezuela","Trinitario"
"103","Black River (A. Morin)","Blue Mountain Region",1331,2014,"70%","U.K.",2.75,"Trinitario","Jamaica","Trinitario"
"104","Blanxart","Congo, Grand Cru",1046,2013,"82%","Spain",3.5,"Forastero","Congo","Forastero"
"105","Blue Bandana","Akesson's E., Sambirano V.",1740,2016,"82%","U.S.A.",3.5,"Trinitario","Madagascar","Trinitario"
"106","Blue Bandana","Madagascar",911,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar","Trinitario"
"107","Bonnat","Cuba",629,2011,"75%","France",3.5,"Trinitario","Cuba","Trinitario"
"108","Bonnat","Piura Blanco",629,2011,"75%","France",3.5,"Forastero","Peru","Forastero"
"109","Bonnat","Madagascar, 100% criollo",629,2011,"75%","France",4,"Criollo","Madagascar","Criollo"
"110","Bonnat","Jamaique",761,2011,"75%","France",3.25,"Trinitario","Jamaica","Trinitario"
"111","Bonnat","Porcelana, Apotequil",336,2009,"75%","France",2.75,"Criollo","Peru","Criollo"
"112","Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,"75%","France",3,"Criollo","Mexico","Criollo"
"113","Bonnat","Xoconusco, cacao Real",395,2009,"75%","France",3,"Criollo","Mexico","Criollo"
"114","Bonnat","Porcelana, Venezuela",199,2008,"75%","France",4,"Criollo","Venezuela","Criollo"
"115","Bonnat","Equateur",123,2007,"75%","France",2.5,"Forastero","Ecuador","Forastero"
"116","Bonnat","Trinite",24,2006,"75%","France",3.75,"Trinitario","Carribean","Trinitario"
"117","Bonnat","Maracaibo, El Rosario",48,2006,"75%","France",4,"Criollo","Venezuela","Criollo"
"118","Bonnat","Madagascar",75,2006,"75%","France",4,"Trinitario","Madagascar","Trinitario"
"119","Bonnat","Chuao",81,2006,"75%","France",4,"Trinitario","Venezuela","Trinitario"
"120","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,"77%","Ecuador",3.25,"Forastero","Ecuador","Forastero"
"121","Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,"100%","Ecuador",1.5,"Forastero","Ecuador","Forastero"
"122","Bowler Man","Maya Mountain",1267,2014,"70%","U.S.A.",2.75,"Trinitario","Belize","Trinitario"
"123","Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,"70%","U.S.A.",3.5,"Criollo","Venezuela","Criollo"
"124","Brasstown aka It's Chocolate","Maya Mountain",1255,2014,"70%","U.S.A.",3.75,"Trinitario","Belize","Trinitario"
"125","Brasstown aka It's Chocolate","Chuao",1355,2014,"70%","U.S.A.",4,"Trinitario","Venezuela","Trinitario"
"126","Brasstown aka It's Chocolate","Cooproagro",1125,2013,"72%","U.S.A.",3,"Trinitario","Dominican Republic","Trinitario"
"127","Brasstown aka It's Chocolate","Ghana",1129,2013,"75%","U.S.A.",3.5,"Forastero","Ghana","Forastero"
"128","Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,"85%","U.S.A.",3.5,"Trinitario","Venezuela","Trinitario"
"129","Brazen","Maya Mountain",1518,2015,"80%","U.S.A.",3.25,"Trinitario","Belize","Trinitario"
"130","Breeze Mill","Jamaica",1149,2013,"70%","U.S.A.",3,"Trinitario","Jamaica","Trinitario"
"131","Bright","Somia Plantation",1231,2014,"72%","Australia",3,"Trinitario","Madagascar","Trinitario"
"132","Bright","Gran Couva",1235,2014,"68%","Australia",2.75,"Trinitario","Trinidad","Trinitario"
"133","Burnt Fork Bend","Trinidad",1299,2014,"72%","U.S.A.",3.25,"Trinitario","Trinidad","Trinitario"
"134","Burnt Fork Bend","Belize",1303,2014,"72%","U.S.A.",3.25,"Trinitario","Belize","Trinitario"
"135","Burnt Fork Bend","Blend",1303,2014,"72%","U.S.A.",3.25,"Blend"," ","Blend"
"136","Cacao Atlanta","Tumbes",1215,2014,"75%","U.S.A.",2.5,"Criollo","Peru","Criollo"
"137","Cacao Barry","Grand 'Anse",1716,2016,"65%","France",3.5,"Trinitario","Haiti","Trinitario"
"138","Cacao de Origen","Chuao",1688,2015,"77%","Venezuela",3.5,"Trinitario","Venezuela","Trinitario"
"139","Cacao de Origen","Rio Caribe",1692,2015,"75%","Venezuela",3.25,"Trinitario","Venezuela","Trinitario"
"140","Cacao de Origen","Chuao, Aragua region",1391,2014,"75%","Venezuela",3.5,"Trinitario","Venezuela","Trinitario"
"141","Cacao de Origen","Chuao, Aragua region",1395,2014,"70%","Venezuela",3.75,"Trinitario","Venezuela","Trinitario"
"142","Cacao Market","Jutiapa, lot 050916D",1860,2016,"70%","U.S.A.",3.5,"Trinitario","Honduras","Trinitario"
"143","Cacao Prieto","Criollo, Dominican Republic",991,2012,"72%","U.S.A.",3.75,"Criollo","Dominican Republic","Criollo"
"144","Cacao Sampaka","Mahali, Kasai",1908,2016,"70%","Spain",3.5,"Criollo","Congo","Criollo"
"145","Cacao Sampaka","Madagascar",508,2010,"71%","Spain",3.5,"Trinitario","Madagascar","Trinitario"
"146","Cacao Sampaka","Grenada",537,2010,"71%","Spain",3.25,"Trinitario","Grenada","Trinitario"
"147","Cacao Sampaka","Porcelana, Tabasco, La Joya",336,2009,"70%","Spain",4,"Criollo","Mexico","Criollo"
"148","Cacao Sampaka","Xoconusco, Chiapas",346,2009,"70%","Spain",4,"Criollo","Mexico","Criollo"
"149","Cacao Store","Madagascar",1684,2015,"70%","Japan",3,"Trinitario","Madagascar","Trinitario"
"150","Cacao Store","Vietnam",1684,2015,"70%","Japan",3.5,"Trinitario","Vietnam","Trinitario"
"151","Cacaoyere (Ecuatoriana)","Amazonia",237,2008,"63%","Ecuador",3.5,"Forastero","Ecuador","Forastero"
"152","Cacaoyere (Ecuatoriana)","Esmeraldas",237,2008,"71%","Ecuador",3.5,"Forastero","Ecuador","Forastero"
"153","Cacaoyere (Ecuatoriana)","Bolivar",245,2008,"82%","Ecuador",2.5,"Forastero","Ecuador","Forastero"
"154","Cacaoyere (Ecuatoriana)","Pichincha",259,2008,"91%","Ecuador",1.5,"Forastero","Ecuador","Forastero"
"155","Callebaut","Grenade",296,2008,"60%","Belgium",2.75,"Trinitario","Grenada","Trinitario"
"156","C-Amaro","Lago di Como, Blu",1442,2014,"70%","Italy",3.5,"Blend"," ","Blend"
"157","C-Amaro","Sao Tome",749,2011,"78%","Italy",2.25,"Forastero","Sao Tome","Forastero"
"158","C-Amaro","Trinidad",765,2011,"70%","Italy",2.5,"Trinitario","Trinidad","Trinitario"
"159","Cao","Porcelana",1804,2016,"75%","U.S.A.",2.5,"Criollo","Venezuela","Criollo"
"160","Cao","Porcelana, Batch 5163",1804,2016,"70%","U.S.A.",3,"Criollo","Venezuela","Criollo"
"161","Cao","Brazil",1808,2016,"70%","U.S.A.",3.25,"Trinitario","Brazil","Trinitario"
"162","Caoni (Tulicorp)","Esmeraldas",237,2008,"77%","Ecuador",2,"Forastero","Ecuador","Forastero"
"163","Caoni (Tulicorp)","Manabi",237,2008,"77%","Ecuador",2.5,"Forastero","Ecuador","Forastero"
"164","Caoni (Tulicorp)","Los Rios",245,2008,"77%","Ecuador",2.75,"Forastero","Ecuador","Forastero"
"165","Caoni (Tulicorp)","Manabi",266,2008,"55%","Ecuador",3,"Forastero","Ecuador","Forastero"
"166","Caoni (Tulicorp)","Los Rios",269,2008,"55%","Ecuador",3.25,"Forastero","Ecuador","Forastero"
"167","Caoni (Tulicorp)","Esmeraldas",269,2008,"55%","Ecuador",3.5,"Forastero","Ecuador","Forastero"
"168","Captain Pembleton","Saidor Estate, Madang P.",1263,2014,"70%","New Zealand",3.5,"Trinitario","Papua New Guinea","Trinitario"
"169","Caribeans","Costa Rica",841,2012,"72%","Costa Rica",3,"Forastero","Costa Rica","Forastero"
"170","Caribeans","Costa Rica",845,2012,"80%","Costa Rica",2.75,"Forastero","Costa Rica","Forastero"
"171","Carlotta Chocolat","Arauca",1884,2016,"65%","Colombia",3,"Trinitario","Colombia","Trinitario"
"172","Carlotta Chocolat","Tumaco",1888,2016,"65%","Colombia",3.25,"Trinitario","Colombia","Trinitario"
"173","Carlotta Chocolat","Cordoba",1888,2016,"65%","Colombia",3.25,"Trinitario","Colombia","Trinitario"
"174","Carlotta Chocolat","Huila",1888,2016,"65%","Colombia",3.5,"Trinitario","Colombia","Trinitario"
"175","Carlotta Chocolat","Cesar",1888,2016,"65%","Colombia",3.5,"CCN51","Colombia","CCN51"
"176","Castronovo","Maya Mtn, Batch 454, Heirloom",1724,2016,"72%","U.S.A.",4,"Trinitario","Belize","Trinitario"
"177","Castronovo","the lost city, gracias a dias, batch 362",1570,2015,"72%","U.S.A.",3.5,"Trinitario","Honduras","Trinitario"
"178","Castronovo","Duarte, Batch 360",1570,2015,"70%","U.S.A.",3.75,"Criollo","Domincan Republic","Criollo"
"179","Castronovo","Sierra Nevada",1347,2014,"72%","U.S.A.",3.5,"Criollo","Colombia","Criollo"
"180","Castronovo","Arauca",1371,2014,"76%","U.S.A.",3.5,"Criollo","Colombia","Criollo"
"181","Castronovo","Elvesia P.",1407,2014,"70%","U.S.A.",2.75,"Trinitario","Dominican Republic","Trinitario"
"182","Castronovo","Bolivia",1101,2013,"70%","U.S.A.",3,"Trinitario","Bolivia","Trinitario"
"183","Castronovo","Conacado",1101,2013,"73%","U.S.A.",3.5,"Trinitario","Dominican Republic","Trinitario"
"184","Castronovo","San Martin",1105,2013,"70%","U.S.A.",2.5,"Criollo","Peru","Criollo"
"185","Castronovo","Nicaragua",1109,2013,"72%","U.S.A.",3.25,"Trinitario","Nicaragua","Trinitario"
"186","Castronovo","Tumbes",1153,2013,"70%","U.S.A.",2.75,"Criollo","Peru","Criollo"
"187","Chaleur B","Uganda",1426,2014,"70%","Canada",2.75,"Forastero","Uganda","Forastero"
"188","Chchukululu (Tulicorp)","Arriba",486,2010,"55%","Ecuador",2.75,"Forastero","Ecuador","Forastero"
"189","Chchukululu (Tulicorp)","Los Rios",252,2008,"75%","Ecuador",3,"Forastero","Ecuador","Forastero"
"190","Choco Del Sol","Maya Mountain w/ nibs",1407,2014,"75%","Germany",3,"Trinitario","Belize","Trinitario"
"191","Choco Del Sol","Maya Mountain",1407,2014,"82%","Germany",3.25,"Trinitario","Belize","Trinitario"
"192","Choco Dong","Mekong Delta, early 2014 Harvest",1696,2015,"70%","South Korea",2.75,"Trinitario","Vietnam","Trinitario"
"193","Choco Dong","Tawau, Oct. 2015 Harvest",1696,2015,"70%","South Korea",3.5,"Trinitario","Malaysia","Trinitario"
"194","Chocolarder","Peru",1482,2015,"65%","U.K.",2.5,"Criollo","Peru","Criollo"
"195","Chocolarder","Peru + nibs",1482,2015,"65%","U.K.",2.75,"Criollo","Peru","Criollo"
"196","Chocola'te","Madagascar",647,2011,"70%","U.S.A.",3.75,"Trinitario","Madagascar","Trinitario"
"197","Chocolate Con Amor","Ocumare",1764,2016,"80%","U.S.A.",3,"Criollo","Venezuela","Criollo"
"198","Chocolate Makers","Tres Hombres",1530,2015,"75%","Amsterdam",3.25,"Trinitario","Dominican Republic","Trinitario"
"199","Chocolate Makers","Congo, Gorilla bar",1530,2015,"68%","Amsterdam",3.5,"Forastero","Congo","Forastero"
"200","Chocolate Makers","Peru, Awagum bar",1530,2015,"80%","Amsterdam",3.75,"Criollo","Peru","Criollo"
"201","Chocolate Tree, The","Maranon",1582,2015,"69%","Scotland",3.75,"Forastero","Peru","Forastero"
"202","Chocolate Tree, The","Carenero Superior",1582,2015,"80%","Scotland",3.75,"Trinitario","Venezuela","Trinitario"
"203","Chocolate Tree, The","Peru",1121,2013,"70%","Scotland",3.75,"Forastero","Peru","Forastero"
"204","Chocolate Tree, The","Ecuador",919,2012,"82%","Scotland",2.5,"Forastero","Ecuador","Forastero"
"205","Chocolate Tree, The","Peru",919,2012,"68%","Scotland",2.75,"Criollo","Peru","Criollo"
"206","Chocolate Tree, The","Madagascar",919,2012,"72%","Scotland",3.25,"Criollo","Madagascar","Criollo"
"207","Chocolats Privilege","Xoconusco",1219,2014,"70%","Canada",2.5,"Criollo","Mexico","Criollo"
"208","ChocoReko","Patanemo",1454,2015,"77%","Japan",3,"Criollo","Venezuela","Criollo"
"209","Chocovic","Xoconusco",478,2010,"71%","Spain",3.25,"Criollo","Mexico","Criollo"
"210","Chocovic","Sambirano",478,2010,"71%","Spain",3.5,"Trinitario","Madagascar","Trinitario"
"211","Chocovic","Ocumare",209,2008,"71%","Spain",3.5,"Criollo","Venezuela","Criollo"
"212","Chocovic","Bolivar, Guaranda",117,2007,"71%","Spain",2.5,"Forastero","Ecuador","Forastero"
"213","Chocovic","Guyave",117,2007,"71%","Spain",2.5,"Trinitario","Grenada","Trinitario"
"214","Chocovic","Maragda",117,2007,"70%","Spain",3,"Blend"," ","Blend"
"215","Chocovivo","Tabasco",1522,2015,"65%","U.S.A.",2.5,"Trinitario","Mexico","Trinitario"
"216","Chocovivo","Tabasco",1522,2015,"75%","U.S.A.",2.5,"Trinitario","Mexico","Trinitario"
"217","Choklat","Ocumare",377,2009,"80%","Canada",2.5,"Criollo","Venezuela","Criollo"
"218","Choklat","Porcelana, Tabasco",377,2009,"70%","Canada",2.75,"Criollo","Mexico","Criollo"
"219","Choklat","Ocumare",377,2009,"70%","Canada",3,"Criollo","Venezuela","Criollo"
"220","Christopher Morel (Felchlin)","Maranon Canyon, Fortunato No. 4",666,2011,"68%","Canada",3.75,"Forastero","Peru","Forastero"
"221","Chuao Chocolatier","Choroni",445,2009,"61%","U.S.A.",3,"Criollo","Venezuela","Criollo"
"222","Chuao Chocolatier (Pralus)","Chuao",486,2010,"77%","U.S.A.",2.75,"Trinitario","Venezuela","Trinitario"
"223","Claudio Corallo","Terreiro Velho P.",470,2010,"73.5%","Sao Tome",3.75,"Forastero","Sao Tome & Principe","Forastero"
"224","Claudio Corallo","Terreiro Velho P. w/ sugar crystals",209,2008,"80%","Sao Tome",3,"Forastero","Sao Tome & Principe","Forastero"
"225","Claudio Corallo","Terreiro Velho P.",227,2008,"75%","Sao Tome",4,"Forastero","Sao Tome & Principe","Forastero"
"226","Claudio Corallo","Principe",252,2008,"100%","Sao Tome",1,"Forastero","Sao Tome & Principe","Forastero"
"227","Coleman & Davis","Sambirano",1646,2015,"75%","U.S.A.",3,"Trinitario","Madagascar","Trinitario"
"228","Compania de Chocolate (Salgado)","Carenero Superior",292,2008,"80%","Argentina",2.75,"Trinitario","Venezuela","Trinitario"
"229","Compania de Chocolate (Salgado)","Ocumare",292,2008,"70%","Argentina",3.75,"Criollo","Venezuela","Criollo"
"230","Compania de Chocolate (Salgado)","Esmeraldas",296,2008,"88%","Argentina",2.75,"Forastero","Ecuador","Forastero"
